SNo,Organisation,Link,Image
1,DRDO: Defence Research and Development Organization,http://www.drdo.gov.in,1_DRDO.png
2,"Electronics & Information Technology Department, Government of Odisha",http://it.odisha.gov.in,2_DeptIT.jpg
3,OCAC: Orissa Computer Application Centre,http://www.ocac.in,3_OCAC.png
4,Odisha Mining Corporation,http://omcltd.in,4_OMC.jpg
5,"Odisha State Medical Corporation Ltd., A Government of Odisha Undertaking",http://osmcl.nic.in,5_OSMC.jpg
6,IDCO: Odisha Industrial Infrastructure Development Corporation,http://www.idco.in,6_IDCO.png
7,"Odisha Livelihoods Mission, Panchayati Raj Department, Government of Odisha",http://www.olm.nic.in,7_OLM.png
8,"CIME: Centre for IT Education, Bhubaneswar",http://www.cime.ac.in,8_CIME.png
9,"Boyanika, Department of Handlooms, Textiles and Handicrafts, Government of Odisha",http://boyanika.com,9_Boyanika.png
10,NALCO: National Aluminium Company Limited,http://www.nalcoindia.com,10_NALCO.jpg
11,"Silicon Institute of Technology, Bhubaneswar",http://www.silicon.ac.in,11_SIT.jpg
12,"NIST: National Institute of Science and Technology, Berhampur",http://www.nist.edu,12_NIST.png
13,Printlink Computer and communication Pvt. Ltd.,http://www.printlinkindia.com,13_printlink.jpg
14,"Sophitorium Engineerig College, Bhubaneswar",http://www.sophitorium.org,14_SEC.png
15,E Square System & Technologies Pvt. Ltd,http://www.estpl.in,15_esquare.png
16,Radhakrishna Institute of Technology and Engineering: RITE Bhubaneswar,http://riteindia.in,16_RITE.png
